"iter","loss","grad_norm","eta","speed","kappa","lambda_min","lambda_max","costo_local","accion_eta","b","w1","w2","theta1","theta2","theta3"
13,0.000495423989480621,0.00895022586864865,0.0401989065714216,0.000359789293486928,0.750123156276186,0.0592126322207574,1.48762985187991,NA,"ajuste_por_lambda_max",0.104045320293217,0.800685640897821,0.304608008364416,0.800685640897821,0.304608008364416,0.104045320293217
14,0.000492252346413207,0.00868405333335904,0.0401976560019956,0.000349078588597349,0.708843198359916,0.0591544450963008,1.48770724330383,NA,"ajuste_por_lambda_max",0.104222393164591,0.800759417102743,0.304912393984179,0.800759417102743,0.304912393984179,0.104222393164591
15,0.000489264118691515,0.00844018347390278,0.0401964541728963,0.00033926544821957,0.6679972063675,0.0590985579290672,1.48778162297281,NA,"ajuste_por_lambda_max",0.104385759719566,0.800835480307332,0.305211361572122,0.800835480307332,0.305211361572122,0.104385759719566
16,0.000486439100435892,0.0082169736161343,0.0401952988070427,0.000330283709790104,0.627851918682919,0.0590448283635606,1.48785313128407,NA,"ajuste_por_lambda_max",0.104536258201207,0.800913714125348,0.305505182471818,0.800913714125348,0.305505182471818,0.104536258201207
17,0.000483759413848597,0.0080128596004117,0.0401941877822143,0.000322070383451467,0.588655435598979,0.0589931231193768,1.48792189910227,NA,"ajuste_por_lambda_max",0.104674676375769,0.800994007941086,0.305794112638221,0.800994007941086,0.305794112638221,0.104674676375769
18,0.000481209239942072,0.00782635585452733,0.040193119120246,0.000314565653138452,0.55063147924839,0.0589433167475756,1.48798804842265,NA,"ajuste_por_lambda_max",0.104801754566866,0.801076256633287,0.306078393516711,0.801076256633287,0.306078393516711,0.104801754566866
19,0.00047877458042868,0.00765605551266837,0.0401920909729402,0.000307712879659048,0.513974934580974,0.0588952917166981,1.48805169323801,NA,"ajuste_por_lambda_max",0.104918188506807,0.801160360309216,0.306358252873281,0.801160360309216,0.306358252873281,0.104918188506807
20,0.000476443047166861,0.00750063041934523,0.0401911016043109,0.000301458599280289,0.47884881696183,0.0588489379042889,1.48811294063346,NA,"ajuste_por_lambda_max",0.105024632016175,0.801246224048995,0.306633905578351,0.801246224048995,0.306633905578351,0.105024632016175
21,0.000474203675975549,0.00735883088464944,0.0401901493986841,0.000295752512653711,0.445382696640955,0.0588041516830011,1.48817189028101,NA,"ajuste_por_lambda_max",0.105121699522059,0.801333757660202,0.306905554346599,0.801333757660202,0.306905554346599,0.105121699522059
22,0.000472046761995595,0.00722948508972523,0.0401892328257365,0.000290547459481158,0.413672513172704,0.0587608362150627,1.48822863660044,NA,"ajuste_por_lambda_max",0.105209968424771,0.801422875442713,0.307173390435271,0.801422875442713,0.307173390435271,0.105209968424771
23,0.000469963714107175,0.00711149807636377,0.0401883504604103,0.000285799376991441,0.383781616771281,0.0587189001843713,1.48828326752327,NA,"ajuste_por_lambda_max",0.105289981322119,0.801513495963577,0.307437594302895,0.801513495963577,0.307437594302895,0.105289981322119
