"w1","w2","loss"
0.89,0.2625,0.00348059320672796
0.895,0.2625,0.0036939588418106
0.9,0.2625,0.00391563229453295
0.7,0.26875,0.0024891394950437
0.705,0.26875,0.0023080897745773
0.71,0.26875,0.00213906040426391
0.715,0.26875,0.00198194961669754
0.72,0.26875,0.00183665586096614
0.725,0.26875,0.00170307780915309
0.73,0.26875,0.00158111436266171
0.735,0.26875,0.00147066465836717
0.74,0.26875,0.00137162807459984
0.745,0.26875,0.00128390423696437
0.75,0.26875,0.00120739302399848
0.755,0.26875,0.00114199457267564
0.76,0.26875,0.00108760928375559
0.765,0.26875,0.00104413782698667
0.77,0.26875,0.00101148114616377
0.775,0.26875,0.000989540464045862
0.78,0.26875,0.000978217287136789
0.785,0.26875,0.000977413410333056
0.79,0.26875,0.000987030921442269
0.795,0.26875,0.00100697220557578
0.8,0.26875,0.0010371399494191
0.805,0.26875,0.00107743714538347
0.81,0.26875,0.001127767095642
0.815,0.26875,0.0011880334160537
0.82,0.26875,0.00125814003997864
0.825,0.26875,0.00133799122198735
0.83,0.26875,0.00142749154146773
0.835,0.26875,0.00152654590613221
0.84,0.26875,0.00163505955542849
0.845,0.26875,0.00175293806385644
0.85,0.26875,0.00188008734419413
0.855,0.26875,0.00201641365063569
0.86,0.26875,0.00216182358184376
0.865,0.26875,0.00231622408391896
0.87,0.26875,0.00247952245328911
0.875,0.26875,0.00265162633952051
0.88,0.26875,0.00283244374805383
0.885,0.26875,0.00302188304286671
0.89,0.26875,0.00321985294906559
0.895,0.26875,0.00342626255540872
0.9,0.26875,0.00364102131676262
0.7,0.275,0.00252927213497564
0.705,0.275,0.00234019854182171
0.71,0.275,0.00216315477012151
0.715,0.275,0.00199804005131108
0.72,0.275,0.00184475382599755
0.725,0.275,0.0017031957502535
0.73,0.275,0.00157326570173903
0.735,0.275,0.00145486378565612
0.74,0.275,0.00134789034053927
0.745,0.275,0.0012522459438866
0.75,0.275,0.00116783141763572
0.755,0.275,0.00109454783348825
0.76,0.275,0.00103229651808697
0.765,0.275,0.000980979058049774
0.77,0.275,0.000940497304864103
0.775,0.275,0.000910753379645735
0.78,0.275,0.000891649677765781
0.785,0.275,0.000883088873349505
0.79,0.275,0.000884973923650617
0.795,0.275,0.000897208073304649
0.8,0.275,0.000919694858464862
0.805,0.275,0.000952338110824169
0.81,0.275,0.000995041961526377
0.815,0.275,0.0010477108449701
0.82,0.275,0.00111024950250854
0.825,0.275,0.00118256298604826
0.83,0.275,0.00126455666155009
0.835,0.275,0.00135613621243507
0.84,0.275,0.00145720764289853
0.845,0.275,0.00156767728113497
0.85,0.275,0.00168745178247666
0.855,0.275,0.00181643813244863
0.86,0.275,0.00195454364974276
0.865,0.275,0.00210167598911336
0.87,0.275,0.002257743144197
0.875,0.275,0.00242265345025876
0.88,0.275,0.00259631558686743
0.885,0.275,0.0027786385805019
0.89,0.275,0.00296953180709086
0.895,0.275,0.00316890499448811
0.9,0.275,0.00337666822488542
