"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3","loss_suav","grad_suav","speed_suav","delta_loss","reduccion_relativa","delta_grad","delta_speed","delta_loss_suav","delta_grad_suav","delta_speed_suav","regimen"
23,23,0.000416556656054264,0.0057447792703761,0.00057447792703761,0.1,0.10547895752403,0.805123318104881,0.315156537899342,0.805123318104881,0.000283592350763902,0.315156537899342,0.000492974914926193,0.10547895752403,-8.10925427838271e-05,0.000423321640127211,0.00582737508735126,0.000582737508735126,-3.33397119692025e-06,0.00794009433076898,-3.91581171926454e-05,-3.91581171926446e-06,-3.43471904120767e-06,-4.41405352472647e-05,-4.41405352472654e-06,"Refinamiento"
24,24,0.000413267311348461,0.00570707396546993,0.000570707396546993,0.1,0.105397864981246,0.805406910455645,0.315649512814268,0.805406910455645,0.00028447036264226,0.315649512814268,0.000487473639282327,0.105397864981246,-8.45753880066252e-05,0.000419937708991432,0.00578581700286512,0.000578581700286512,-3.28934470580222e-06,0.00789651215530503,-3.77053049061722e-05,-3.77053049061731e-06,-3.38393113577838e-06,-4.15580844861348e-05,-4.15580844861344e-06,"Refinamiento"
25,25,0.000410020727513826,0.00567052524002788,0.000567052524002788,0.1,0.105313289593239,0.805691380818287,0.31613698645355,0.805691380818287,0.000285155096910894,0.31613698645355,0.000482284904855562,0.105313289593239,-8.7386533471311e-05,0.000416601375303786,0.00574625262126872,0.000574625262126872,-3.2465838346353e-06,0.00785589311718374,-3.65487254420527e-05,-3.65487254420514e-06,-3.33633368764652e-06,-3.9564381596407e-05,-3.95643815964068e-06,"Refinamiento"
26,26,0.000406815382192169,0.00563491248649283,0.000563491248649284,0.1,0.105225903059768,0.805976535915198,0.316619271358406,0.805976535915198,0.000285666066477478,0.316619271358406,0.000477371695709836,0.105225903059768,-8.96300725355605e-05,0.000413310140871981,0.0057082456699871,0.00057082456699871,-3.20534532165711e-06,0.00781752018556551,-3.56127535350442e-05,-3.56127535350444e-06,-3.2912344318048e-06,-3.80069512816161e-05,-3.80069512816161e-06,"Refinamiento"
27,27,0.000403650008339109,0.00560007079756239,0.000560007079756239,0.1,0.105136272987233,0.806262201981675,0.317096643054115,0.806262201981675,0.000286020492226155,0.317096643054115,0.000472702092963124,0.105136272987233,-9.13944129151305e-05,0.000410062017089566,0.00567147235198583,0.000567147235198583,-3.16537385305991e-06,0.0077808607634797,-3.48416889304403e-05,-3.48416889304408e-06,-3.24812378241495e-06,-3.67733180012706e-05,-3.67733180012709e-06,"Refinamiento"
28,28,0.000400523529950045,0.00556587631959733,0.000556587631959733,0.1,0.105044878574317,0.806548222473901,0.317569345147079,0.806548222473901,0.000286233605638429,0.317569345147079,0.000468248540255846,0.105044878574317,-9.27546203810732e-05,0.000406855391868722,0.00563569176183007,0.000563569176183007,-3.12647838906377e-06,0.00774551794061075,-3.4194477965069e-05,-3.41944779650685e-06,-3.20662522084364e-06,-3.57805901557559e-05,-3.57805901557559e-06,"Refinamiento"
29,29,0.000397435014997275,0.00553223549490131,0.000553223549490131,0.1,0.104952123953936,0.80683445607954,0.318037593687334,0.80683445607954,0.00028631890939183,0.318037593687334,0.000463987216646043,0.104952123953936,-9.37744134835844e-05,0.000403688932598485,0.00560072406771635,0.000560072406771635,-3.08851495277058e-06,0.00771119475913086,-3.36408246960161e-05,-3.36408246960163e-06,-3.16645927023738e-06,-3.49676941137243e-05,-3.49676941137236e-06,"Refinamiento"
30,30,0.000394383640888687,0.00549907716293402,0.000549907716293402,0.1,0.104858349540453,0.807120774988932,0.31850158090398,0.807120774988932,0.000286288401807629,0.31850158090398,0.000459897501196507,0.104858349540453,-9.45078611686195e-05,0.000400561515273457,0.00556643445229758,0.000556643445229758,-3.05137410858765e-06,0.00767766801053225,-3.31583319672863e-05,-3.31583319672867e-06,-3.12741732502779e-06,-3.42896154187713e-05,-3.42896154187713e-06,"Refinamiento"
31,31,0.000391368669044496,0.00546634676013871,0.000546634676013871,0.1,0.104763841679284,0.807407063390739,0.318961478405177,0.807407063390739,0.000286152770222569,0.318961478405177,0.000455961515807753,0.104763841679284,-9.50008274544808e-05,0.000397472172643922,0.00553272130702675,0.000553272130702675,-3.01497184419124e-06,0.0076447690115966,-3.27304027953109e-05,-3.27304027953105e-06,-3.08934262953462e-06,-3.37131452708243e-05,-3.3713145270825e-06,"Refinamiento"
32,32,0.000388389426120744,0.00543400205874366,0.000543400205874366,0.1,0.10466884085183,0.807693216160962,0.319417439920985,0.807693216160962,0.0002859215576618,0.319417439920985,0.000452163734812169,0.10466884085183,-9.52922007787815e-05,0.000394420056200249,0.00549950755926301,0.000549950755926301,-2.97924292375231e-06,0.00761236949144036,-3.23447013950533e-05,-3.23447013950531e-06,-3.05211644367309e-06,-3.32137477637474e-05,-3.32137477637468e-06,"Refinamiento"
33,33,0.000385445290084771,0.00540201003348284,0.000540201003348284,0.1,0.104573548651051,0.807979137718624,0.319869603655797,0.807979137718624,0.000285603306582956,0.319869603655797,0.000448490651523862,0.104573548651051,-9.54149400412542e-05,0.000391404408227194,0.00546673430204011,0.000546673430204011,-2.94413603597286e-06,0.00758037122122167,-3.19920252608201e-05,-3.19920252608201e-06,-3.01564797305497e-06,-3.27732572228973e-05,-3.27732572228973e-06,"Refinamiento"
34,34,0.000382535679838208,0.00537034455477242,0.000537034455477242,0.1,0.10447813371101,0.808264741025207,0.320318094307321,0.808264741025207,0.000285205682933508,0.320318094307321,0.000444930493375075,0.10447813371101,-9.53969646119903e-05,0.000388424541195381,0.00543435611401433,0.000543435611401433,-2.90961024656242e-06,0.00754869838563553,-3.16654787104187e-05,-3.16654787104191e-06,-2.97986703181327e-06,-3.23781880257777e-05,-3.23781880257783e-06,"Refinamiento"
35,35,0.000379660047439033,0.00533898468748905,0.000533898468748905,0.1,0.104382736746398,0.80854994670814,0.320763024800696,0.80854994670814,0.000284735583306779,0.320763024800696,0.000441472978498461,0.104382736746398,-9.52619115232919e-05,0.00038547982250545,0.00540233761892534,0.000540233761892534,-2.87563239917497e-06,0.00751729196312854,-3.135986728337e-05,-3.13598672833698e-06,-2.94471868993076e-06,-3.2018495088995e-05,-3.20184950889941e-06,"Refinamiento"
36,36,0.000376817872232403,0.00530791343366313,0.000530791343366313,0.1,0.104287474834874,0.808834682291447,0.321204497779194,0.808834682291447,0.000284199227587834,0.321204497779194,0.000438109107663339,0.104287474834874,-9.5029779614217e-05,0.000382569663143032,0.00537065095363022,0.000537065095363022,-2.8421752066308e-06,0.00748610557870486,-3.10712538259209e-05,-3.10712538259203e-06,-2.91015936241867e-06,-3.16866652951163e-05,-3.16866652951171e-06,"Refinamiento"
37,37,0.000374008656387316,0.00527711680076627,0.000527711680076628,0.1,0.10419244505526,0.809118881519035,0.321642606886858,0.809118881519035,0.000283602239140058,0.321642606886858,0.00043483098637048,0.10419244505526,-9.4717477458584e-05,0.000379693509196346,0.00533927390203474,0.000533927390203474,-2.80921584508621e-06,0.00745510243712252,-3.07966328968543e-05,-3.07966328968545e-06,-2.87615394668544e-06,-3.1377051595477e-05,-3.13770515954768e-06,"Refinamiento"
38,38,0.000371231921472484,0.00524658310902449,0.000524658310902449,0.1,0.104097727577802,0.809402483758175,0.322077437873228,0.809402483758175,0.000282949714291194,0.322077437873228,0.000431631672674754,0.104097727577802,-9.43392894055071e-05,0.000376850835473889,0.00530818851714307,0.000530818851714307,-2.77673491483197e-06,0.0074242530486572,-3.05336917417864e-05,-3.05336917417868e-06,-2.8426737224573e-06,-3.10853848916699e-05,-3.10853848916692e-06,"Refinamiento"
