"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3"
43,43,0.000357819782940244,0.00509755644707439,0.000509755644707439,0.1,0.103630746496772,0.810809750000485,0.324204979337371,0.810809750000485,0.00027900249450007,0.324204979337371,0.000416625998172282,0.103630746496772,-9.18215825434606e-05
44,44,0.000355228700343548,0.00506843324886836,0.000506843324886836,0.1,0.103538924914228,0.811088752494985,0.324621605335543,0.811088752494985,0.000278100948731809,0.324621605335543,0.000413792826827127,0.103538924914228,-9.1244258795971e-05
45,45,0.000352667127215756,0.00503952526156779,0.000503952526156779,0.1,0.103447680655432,0.811366853443717,0.32503539816237,0.811366853443717,0.000277168979614242,0.32503539816237,0.000411007647677928,0.103447680655432,-9.06543926660746e-05
46,46,0.000350134679044957,0.00501082824311715,0.000501082824311715,0.1,0.103357026262766,0.811644022423331,0.325446405810048,0.811644022423331,0.000276209095144353,0.325446405810048,0.000408267724580383,0.103357026262766,-9.00555253479752e-05
47,47,0.000347630979180756,0.00498233830121462,0.000498233830121462,0.1,0.103266970737418,0.811920231518475,0.325854673534628,0.811920231518475,0.000275223609993762,0.325854673534628,0.000405570589673707,0.103266970737418,-8.94506052032358e-05
48,48,0.000345155658377563,0.00495405184268943,0.000495405184268943,0.1,0.103177520132215,0.812195455128469,0.326260244124302,0.812195455128469,0.000274214663682344,0.326260244124302,0.000402914010357381,0.103177520132215,-8.88420794435651e-05
49,49,0.000342708354396669,0.00492596553247688,0.000492596553247688,0.1,0.103088678052772,0.812469669792151,0.326663158134659,0.812469669792151,0.000273184236653813,0.326663158134659,0.000400295960805205,0.103088678052772,-8.82319719739622e-05
50,50,0.000340288711656391,0.00489807626000445,0.000489807626000445,0.1,0.103000446080798,0.812742854028805,0.327063454095465,0.812742854028805,0.000272134164530235,0.327063454095465,0.000397714597362458,0.103000446080798,-8.76219494672488e-05
51,51,0.000337896380921967,0.00487038111135345,0.000487038111135345,0.1,0.10291282413133,0.813014988193335,0.327461168692827,0.813014988193335,0.000271066150783219,0.327461168692827,0.00039516823726829,0.10291282413133,-8.70133774320174e-05
52,52,0.000335531019028652,0.00484287734596573,0.000484287734596573,0.1,0.102825810753898,0.813286054344118,0.327856336930095,0.813286054344118,0.000269981778026294,0.327856336930095,0.000392655340227172,0.102825810753898,-8.64073677733858e-05
53,53,0.000333192288632851,0.00481556237696474,0.000481556237696474,0.1,0.102739403386125,0.813556036122145,0.328248992270323,0.813556036122145,0.000268882518104477,0.328248992270323,0.000390174492423095,0.102739403386125,-8.58048191219989e-05
54,54,0.000330879857987137,0.00478843375438179,0.000478843375438179,0.1,0.102653598567003,0.813824918640249,0.328639166762746,0.813824918640249,0.000267769741132475,0.328639166762746,0.000387724392629647,0.102653598567003,-8.520645101662e-05
55,55,0.000328593400735791,0.00476148915074319,0.000476148915074319,0.1,0.102568392115986,0.814092688381382,0.329026891155375,0.814092688381382,0.00026664472361227,0.329026891155375,0.000385303840119751,0.102568392115986,-8.46128328633435e-05
56,56,0.00032633259572808,0.00473472634859647,0.000473472634859647,0.1,0.102483779283123,0.814359333104994,0.329412194995495,0.814359333104994,0.000265508655742615,0.329412194995495,0.000382911724122117,0.102483779283123,-8.402440845679e-05
57,57,0.000324097126847039,0.0047081432296466,0.00047081432296466,0.1,0.102399754874666,0.814624841760737,0.329795106719617,0.814624841760737,0.000264362648017984,0.329795106719617,0.000380547014608185,0.102399754874666,-8.34415167311149e-05
58,58,0.000321886682851806,0.00468173776524188,0.000468173776524188,0.1,0.102316313357935,0.814889204408755,0.330175653734225,0.814889204408755,0.000263207737201171,0.330175653734225,0.000378208754224742,0.102316313357935,-8.2864409308995e-05
59,59,0.000319700957231927,0.00465550800800197,0.000465550800800197,0.1,0.102233448948626,0.815152412145956,0.33055386248845,0.815152412145956,0.00026204489174234,0.33055386248845,0.000375896051214291,0.102233448948626,-8.2293265331697e-05
60,60,0.000317539648072219,0.00462945208442066,0.000462945208442066,0.1,0.102151155683294,0.815414457037698,0.330929758539664,0.815414457037698,0.000260875016707988,0.330929758539664,0.000373608073187833,0.102151155683294,-8.17282039809438e-05
61,61,0.000315402457927094,0.00460356818830739,0.000460356818830739,0.1,0.102069427479313,0.815675332054406,0.331303366612852,0.815675332054406,0.000259698958274648,0.331303366612852,0.000371344041634445,0.102069427479313,-8.11692950420049e-05
62,62,0.00031328909370322,0.0045778545749542,0.00045778545749542,0.1,0.101988258184271,0.815935031012681,0.331674710654487,0.815935031012681,0.000258517507835197,0.331674710654487,0.000369103227068421,0.101988258184271,-8.06165678049358e-05
63,63,0.00031119926654975,0.00455230955593564,0.000455230955593564,0.1,0.101907641616467,0.816193548520516,0.332043813881555,0.816193548520516,0.000257331405759451,0.332043813881555,0.000366884944729101,0.101907641616467,-8.00700185563774e-05
64,64,0.00030913269175525,0.00452693149446172,0.000452693149446172,0.1,0.10182757159791,0.816450879926275,0.332410698826284,0.816450879926275,0.00025614134484539,0.332410698826284,0.000364688550760449,0.10182757159791,-7.95296168765663e-05
65,65,0.000307089088650725,0.0045017188012182,0.00045017188012182,0.1,0.101748041981034,0.816707021271121,0.332775387377045,0.816707021271121,0.00025494797349294,0.332775387377045,0.000362513438807871,0.101748041981034,-7.89953109238082e-05
66,66,0.000305068180518109,0.00447666993063633,0.000447666993063633,0.1,0.10166904667011,0.816961969244614,0.333137900815852,0.816961969244614,0.000253751898628156,0.333137900815852,0.000360359036978523,0.10166904667011,-7.84670318614912e-05
67,67,0.000303069694503695,0.0044517833775433,0.00044517833775433,0.1,0.101590579638248,0.817215721143242,0.333498259852831,0.817215721143242,0.000252553688402332,0.333498259852831,0.000358224805118939,0.101590579638248,-7.7944697559128e-05
68,68,0.000301093361536075,0.00442705767415058,0.000442705767415058,0.1,0.101512634940689,0.817468274831644,0.33385648465795,0.817468274831644,0.000251353874687703,0.33385648465795,0.000356110232370187,0.101512634940689,-7.74282156793313e-05
69,69,0.000299138916248123,0.00440249138734275,0.000440249138734275,0.1,0.10143520672501,0.817719628706332,0.33421259489032,0.817719628706332,0.000250152955388725,0.33421259489032,0.000354014834966287,0.10143520672501,-7.691748624565e-05
70,70,0.000297206096902705,0.00437808311623452,0.000437808311623452,0.1,0.101358289238764,0.817969781661721,0.334566609725286,0.817969781661721,0.000248951396585773,0.334566609725286,0.000351938154246417,0.101358289238764,-7.64124037718724e-05
71,71,0.000295294645321758,0.00435383148996707,0.000435383148996707,0.1,0.101281876834992,0.818218733058307,0.334918547879533,0.818218733058307,0.000247749634526376,0.334918547879533,0.00034987975485524,0.101281876834992,-7.59128590212016e-05
72,72,0.000293404306818452,0.00432973516571826,0.000432973516571826,0.1,0.101205963975971,0.818466482692833,0.335268427634388,0.818466482692833,0.000246548077477029,0.335268427634388,0.000347839223109449,0.101205963975971,-7.54187404533448e-05
73,73,0.000291534830132187,0.00430579282690455,0.000430579282690455,0.1,0.101130545235518,0.81871303077031,0.335616266857497,0.81871303077031,0.000245347107447665,0.335616266857497,0.000345816165511274,0.101130545235518,-7.49299354088202e-05
74,74,0.000289685967366182,0.00428200318155442,0.000428200318155442,0.1,0.101055615300109,0.818958377877757,0.335962083023009,0.818958377877757,0.000244147081799269,0.335962083023009,0.000343810207392411,0.101055615300109,-7.44463310721905e-05
75,75,0.000287857473927432,0.0042583649608356,0.00042583649608356,0.1,0.100981168969037,0.819202524959557,0.336305893230401,0.819202524959557,0.000242948334744106,0.336305893230401,0.000341820991673994,0.100981168969037,-7.39678152495887e-05
76,76,0.000286049108468878,0.00423487691772055,0.000423487691772055,0.1,0.100907201153787,0.819445473294301,0.336647714222075,0.819445473294301,0.000241751178747157,0.336647714222075,0.000339848177730023,0.100907201153787,-7.34942769905704e-05
77,77,0.000284260632833601,0.00421153782577573,0.000421153782577573,0.1,0.100833706876797,0.819687224473048,0.336987562399805,0.819687224473048,0.000240555905836385,0.336987562399805,0.000337891440343316,0.100833706876797,-7.30256070796593e-05
78,78,0.000282491812000877,0.00418834647806227,0.000418834647806227,0.1,0.100760681269717,0.819927780378884,0.337325453840149,0.819927780378884,0.000239362788828793,0.337325453840149,0.000335950468744454,0.100760681269717,-7.25616984190053e-05
79,79,0.000280742414033988,0.00416530168613674,0.000416530168613674,0.1,0.100688119571298,0.820167143167713,0.337661404308893,0.820167143167713,0.00023817208247855,0.337661404308893,0.000334024965725276,0.100688119571298,-7.21024463204603e-05
80,80,0.000279012210029643,0.00414240227914186,0.000414240227914186,0.1,0.100616017124977,0.820405315250192,0.337995429274618,0.820405315250192,0.00023698402455286,0.337995429274618,0.000332114646819676,0.100616017124977,-7.16477487222588e-05
81,81,0.000277300974068902,0.00411964710297822,0.000411964710297822,0.1,0.100544369376255,0.820642299274745,0.338327543921438,0.820642299274745,0.000235798836840795,0.338327543921438,0.00033021923954515,0.100544369376255,-7.11975063434028e-05
